Job Position Name,Company Name,Pay,Experience,Rating,URL
Associate Data Scientist,Shell,Not disclosed,3-5 Yrs,4.4,https://www.naukri.com/job-listings-associate-data-scientist-shell-india-markets-private-limited-chennai-3-to-5-years-161122914574
Senior Data Scientist,Kaleidofin,Not disclosed,4-9 Yrs,3.7,https://www.naukri.com/job-listings-senior-data-scientist-kaleidofin-chennai-bangalore-bengaluru-4-to-9-years-290721500503
Data analysis engineers,Adecco India Private Limited,"8,50,000 - 10,00,000 PA.",5-10 Yrs,,https://www.naukri.com/job-listings-data-analysis-engineers-adecco-india-private-limited-hyderabad-secunderabad-pune-calicut-kozhikode-chennai-bangalore-bengaluru-trivandrum-thiruvananthapuram-5-to-10-years-191022011111
Data Analyst,L A Consultancy,Not disclosed,2-6 Yrs,,https://www.naukri.com/job-listings-data-analyst-l-a-consultancy-kochi-cochin-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-2-to-6-years-171122914709
Clinical Data Analyst - SQL/Healthcare EcoSystem,Huquo Consulting Pvt. Ltd,Not disclosed,5-10 Yrs,,https://www.naukri.com/job-listings-clinical-data-analyst-sql-healthcare-ecosystem-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-10-years-141122908707
Assistant Manager/Lead Assistant Manager/Manager - Data Analyst,Huquo Consulting Pvt. Ltd,Not disclosed,2-7 Yrs,,https://www.naukri.com/job-listings-assistant-manager-lead-assistant-manager-manager-data-analyst-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-2-to-7-years-091122913797
Data Analyst -Accounting exp required,Dotsolved Systems,"7,00,000 - 11,00,000 PA.",5-9 Yrs,3.8,https://www.naukri.com/job-listings-data-analyst-accounting-exp-required-dotsolved-india-pvt-ltd-chennai-5-to-9-years-311022002814
Data Analyst - Subscription Management,Arcadia,Not disclosed,1-6 Yrs,,https://www.naukri.com/job-listings-data-analyst-subscription-management-arcadia-chennai-1-to-6-years-101122502032
Computer Science - online tutor/expert,Chegg India,,,,
Associate Content Ingest Analyst,Clarivate,₹228K - ₹440K (Glassdoor est.),,,
Data Analyst II - 1022-CH-276,Elsevier,,,,
Analyst -Meteorologist/Oceanographer/Atmospheric science,Blue Power Partners,₹324K - ₹1M (Glassdoor est.),,,
SQL Data/ETL Analyst,Quadraflake Consulting Private Limited,₹600K - ₹800K (Employer est.),,,
Business Analyst - Retail Banking,Larsen & Toubro Infotech Limited,,,,
data science analyst - AVP,Citi,₹919K - ₹2M (Glassdoor est.),,,
Analyst - Tech Consulting - National - Data & Analytics - Chennai,EY,₹482K - ₹852K (Glassdoor est.),,,
Data Analyst with Tableau,SRM Technologies,₹620K - ₹1M (Glassdoor est.),,,
Data Analyst Lead,LatentView,₹650K - ₹913K (Glassdoor est.),,,
Business Intelligence Analyst I,Caterpillar,₹1M - ₹2M (Glassdoor est.),,,
Data Science Senior Analyst - Compliance Testing Automation,Citi,₹2M - ₹2M (Glassdoor est.),,,
Knowledge Analyst – Manufacturing & Supply Chain,McKinsey & Company,₹940K - ₹2M (Glassdoor est.),,,
Data Science - ML,LatentView,₹614K - ₹1M (Glassdoor est.),,,
Junior Associate - Brand Analytics – Data Analyst,AstraZeneca,,,,
Senior Data Management Analyst,The Bank of New York Mellon Corporation,₹2M - ₹2M (Glassdoor est.),,,
GTC -Mech - Engineer Data Analyst,Valeo,₹324K - ₹500K (Glassdoor est.),,,
